SerialNumber,TypeID,Description,LastCheckIn
10238011,25,Rm 3317,10/21/2024 7:10
10205842,59,Rm 321,10/21/2024 6:26
10205648,9,Rm 3118,10/21/2024 5:54
10261759,10,Rm 109,10/21/2024 8:29
10262150,10,Rm 106,10/21/2024 8:14
10206802,22,Rm 2206,10/21/2024 5:19
10205062,7,Rm 112,10/21/2024 5:17
10206483,22,Rm 2211,10/21/2024 7:05
10205536,18,Rm 236,10/21/2024 8:48
10192620,19,Rm 315,10/21/2024 5:56
10205023,7,Rm 101,10/21/2024 5:42
10205100,23,Rm 2301,10/21/2024 7:11
10205034,51,Rm 2311 Den,10/21/2024 6:51
10205827,59,Rm 330,10/21/2024 6:25
10192950,23,Rm 2310,10/21/2024 8:51
10206737,62,Rm 3304,10/21/2024 7:50
9949120,20,Rm 2211A,10/21/2024 8:09
10238002,25,Rm 3319,10/21/2024 6:52
10206804,60,Rm 3104,10/21/2024 6:58
10206733,62,Rm 3303,10/21/2024 7:15
6651369,11,Rm 2108,10/21/2024 8:01
10206470,26,Rm 3209,10/21/2024 7:44
10205009,19,Rm 319,10/21/2024 7:24
10286203,20,Rm 2219,10/21/2024 8:53
10328378,27,Rm 3309 A,10/21/2024 7:25
10192112,49,Rm 2112,10/21/2024 5:32
10206762,26,Rm 3206,10/21/2024 7:37
10205812,26,Rm 3219,10/21/2024 6:39
10192963,58,Rm 203,10/21/2024 8:06
10205031,19,Rm 323,10/21/2024 5:55
10286818,20,Rm 2215,10/21/2024 6:39
10206478,60,Rm 3118,10/21/2024 6:04
6682938,11,Rm 2115,10/21/2024 7:52
10205550,18,Rm 234,10/21/2024 8:51
10192198,51,Rm 2309 Den,10/21/2024 5:50
10205298,51,Rm 2321,10/21/2024 5:50
6598529,11,Rm 2110,10/21/2024 6:10
10206668,9,Rm 3108,10/21/2024 5:58
10205706,9,Rm 3123,10/21/2024 5:57
10192143,22,Rm 2202,10/21/2024 5:48
10205574,19,Rm 306,10/21/2024 6:50
10262008,10,Rm 102,10/21/2024 6:11
10192120,8,Rm 2112,10/21/2024 7:07
10205011,7,Rm 105,10/21/2024 6:46
10205088,23,Rm 2321,10/21/2024 7:32
10205037,18,Rm 222 A,10/21/2024 7:46
10206935,61,Rm 3201,10/21/2024 7:16
10205050,19,Rm 318,10/21/2024 7:13
10206474,22,Rm 2210,10/21/2024 6:04
10205167,58,Rm 223,10/21/2024 8:58
10192151,8,Rm 2105,10/21/2024 9:08
9950518,20,Rm 2203,10/21/2024 9:04
10205144,51,Rm 2314,10/21/2024 7:17
10206756,19,Rm 305,10/21/2024 8:33
10205922,23,Rm 2302,10/21/2024 8:43
10206482,60,Rm 3111,10/21/2024 8:01
10193733,18,Rm 220 B,10/21/2024 6:49
10206255,26,Rm 3214,10/21/2024 5:17
10205833,50,Rm 2219,10/21/2024 8:08
9950685,20,Rm 2209 Left,10/21/2024 7:49
10205014,26,Rm 3229,10/21/2024 6:58
10192946,9,Rm 3101,10/21/2024 8:50
10262155,53,Rm 2209 Right,10/21/2024 8:28
10193743,18,Rm 220 A,10/21/2024 5:52
10206929,26,Rm 3220,10/21/2024 5:22
10206801,26,Rm 3215,10/21/2024 7:23
10205810,59,Rm 301,10/21/2024 7:39
10206477,19,Rm 325,10/21/2024 9:05
10205319,51,Rm 2305,10/21/2024 6:14
10205959,7,Rm 111,10/21/2024 7:15
10261690,10,Rm 107,10/21/2024 8:44
10205820,60,Rm 3120,10/21/2024 7:21
10206109,58,Rm 221,10/21/2024 6:45
10205033,18,Rm 222 B,10/21/2024 7:20
10205817,22,Rm 2221,10/21/2024 5:48
10205588,18,Rm 202,10/21/2024 7:00
10193979,9,Rm 3122 A,10/21/2024 7:39
10205078,51,Rm 2302,10/21/2024 6:50
10193382,18,Rm 225 B,10/21/2024 9:03
10192491,19,Rm 332,10/21/2024 8:35
10205955,18,Rm 232,10/21/2024 6:09
10205643,18,Rm 207,10/21/2024 5:51
10192202,7,Rm 102,10/21/2024 6:16
10206766,60,Rm 3101,10/21/2024 7:39
10192201,7,Rm 103,10/21/2024 8:39
10205045,58,Rm 227,10/21/2024 9:03
10205804,59,Rm 323,10/21/2024 6:21
10262177,10,Rm 112,10/21/2024 8:55
10192495,34,Dining Room,10/21/2024 8:55
10206475,60,Rm 3117,10/21/2024 8:22
10260569,10,Rm 110,10/21/2024 6:46
10205060,7,Rm 122,10/21/2024 5:25
10192504,23,Rm 2309,10/21/2024 6:56
10193386,18,Rm 218,10/21/2024 5:37
10205835,59,Rm 326,10/21/2024 7:41
10205302,49,Rm 2116,10/21/2024 5:43
10205069,23,Rm 2315,10/21/2024 8:00
6598546,11,Rm 2102,10/21/2024 5:26
9950550,20,Rm 2205,10/21/2024 7:08
10205053,58,Rm 234,10/21/2024 7:36
10192499,9,Rm 3122 B,10/21/2024 6:56
10205046,19,Rm 312,10/21/2024 8:03
10205876,23,Rm 2319,10/21/2024 6:32
10206793,26,Rm 3212,10/21/2024 5:55
10205568,19,Rm 303,10/21/2024 6:59
10192485,9,Rm 3112A,10/21/2024 7:40
9948986,20,Rm 2202,10/21/2024 6:33
10205073,50,Rm 2216,10/21/2024 7:16
10205067,50,Rm 2209 Den,10/21/2024 7:57
10205083,50,Rm 2205,10/21/2024 7:58
10206931,22,Rm 2216,10/21/2024 5:12
10261822,10,Rm 108,10/21/2024 5:51
10192196,49,Rm 2115,10/21/2024 7:01
10205021,57,Rm 104,10/21/2024 5:17
10238967,25,Rm 3325,10/21/2024 6:09
10192230,9,Rm 3115,10/21/2024 5:47
9949858,20,Rm 2208,10/21/2024 5:25
10206789,57,Rm 101,10/21/2024 6:52
10205323,8,Rm 2109,10/21/2024 8:53
10205066,23,Rm 2318,10/21/2024 7:30
10192942,51,Rm 2308,10/21/2024 6:08
10192189,18,Rm 214,10/21/2024 6:26
10192186,18,Rm 212,10/21/2024 5:37
10205205,51,Rm 2318,10/21/2024 7:40
10205058,18,Rm 230,10/21/2024 8:31
10205136,26,Rm 3227,10/21/2024 8:36
10206760,26,Rm 3221,10/21/2024 7:21
10206808,19,Rm 329,10/21/2024 6:05
10287616,61,Rm 3214,10/21/2024 5:17
10206671,22,Rm 2201,10/21/2024 7:22
10205022,59,Rm 327,10/21/2024 9:00
10192484,51,Rm 2306,10/21/2024 7:50
10205029,19,Rm 320,10/21/2024 6:07
10192489,9,Rm 3113,10/21/2024 6:04
10205918,50,Rm 2204,10/21/2024 7:59
10205919,23,Rm 2312,10/21/2024 6:06
10262188,17,Rm 302,10/21/2024 6:41
10206115,19,Rm 328,10/21/2024 8:08
10329417,61,Rm 3202,10/21/2024 7:15
10205834,59,Rm 302,10/21/2024 5:40
10261700,10,Rm 103,10/21/2024 5:33
10205132,22,Rm 2218,10/21/2024 6:48
10192958,23,Rm 2311,10/21/2024 5:53
10192501,9,Rm 3104,10/21/2024 5:27
10206464,26,Rm 3203,10/21/2024 8:07
10192512,9,Rm 3112,10/21/2024 8:06
10206471,26,Rm 3208,10/21/2024 8:55
10205721,49,Rm 2105,10/21/2024 8:38
10192195,8,Rm 2108,10/21/2024 5:20
10205704,49,Rm 2104,10/21/2024 8:24
10206259,26,Rm 3210,10/21/2024 5:18
10205209,51,Rm 2319,10/21/2024 8:06
10192183,8,Rm 2106,10/21/2024 7:30
10206774,9,Rm 3121,10/21/2024 7:00
9134594,34,Public Restroom Left by Room 2109,10/21/2024 5:37
10206677,9,Rm 3119,10/21/2024 8:13
10262000,10,Rm 105,10/21/2024 7:00
10239072,25,Rm 3327,10/21/2024 6:26
8803688,16,Rm 218,10/21/2024 5:53
10206797,26,Rm 3207,10/21/2024 8:24
10261757,10,Rm 104,10/21/2024 5:52
10193678,9,Rm 3102,10/21/2024 7:59
10205128,60,Rm 3113,10/21/2024 7:59
10327828,62,Rm 3318,10/21/2024 7:12
10286189,20,Rm 2217,10/21/2024 5:34
10205048,7,Rm 107,10/21/2024 5:53
10205179,7,Rm 106,10/21/2024 5:41
10205290,51,Rm 2309,10/21/2024 7:28
10239122,25,Rm 3329,10/21/2024 5:49
10205914,50,Rm 2211,10/21/2024 6:23
10205722,19,Rm 327,10/21/2024 5:41
10192200,49,Rm 2101,10/21/2024 5:14
10286816,25,Rm 3302,10/21/2024 6:22
10205572,58,Rm 204,10/21/2024 6:59
10205155,49,Rm 2108,10/21/2024 6:54
10285720,20,Rm 2216,10/21/2024 8:32
10206665,9,Rm 3109,10/21/2024 7:18
10206937,50,Rm 2221,10/21/2024 7:52
10205013,18,Rm 209,10/21/2024 8:34
10205724,18,Rm 206,10/21/2024 5:24
10206392,7,Rm 118,10/21/2024 5:50
10205821,22,Rm 2215,10/21/2024 7:59
10286186,21,Rm 2302,10/21/2024 6:56
10205829,26,Rm 3217,10/21/2024 6:34
10206117,58,Rm 202,10/21/2024 8:46
10205906,50,Rm 2208,10/21/2024 7:30
9950677,20,Rm 2212,10/21/2024 8:19
10285855,21,Rm 2303,10/21/2024 9:01
10237915,25,Rm 3318,10/21/2024 7:04
10193090,18,Rm 216,10/21/2024 8:53
9134152,63,Rm 3311 Right,10/21/2024 7:27
10261091,17,Chapel Restroom,10/21/2024 9:04
10205657,58,Rm207,10/21/2024 6:28
9999023,26,Rm 3227,10/21/2024 5:17
9998990,60,Rm 3121,10/21/2024 5:36
9998922,7,Rm 108,10/21/2024 6:47
9998971,58,Rm 230,10/21/2024 8:36
10286404,36,I.L. fitness room,10/21/2024 8:38
10261156,17,Rm 316,10/21/2024 8:52
9999432,19,Rm 316,10/21/2024 7:29
10147002,44,Rm 2319,10/21/2024 9:07
10112527,41,Rm 328,10/21/2024 9:07
10112540,46,Rm 3221,10/21/2024 9:07
12247046,41,Rm 317,10/21/2024 9:05
12611743,45,Rm 3119,10/21/2024 9:07
12611746,47,Rm 3320,10/21/2024 9:06
12538823,40,Rm 120,10/21/2024 9:07
13593536,30,Rm 228,10/21/2024 9:07
10146198,30,Rm 201,10/21/2024 9:07
13744152,84,Bldg. 1 Main Entrance Doorbell,10/21/2024 9:07
12611576,45,Rm 3105,10/21/2024 9:06
10146414,46,Rm 3204,10/21/2024 9:07
8804230,36,I.L. FITNESS ROOM,10/21/2024 6:49
2165283,42,Rm 2102,10/21/2024 9:08
10146988,45,Rm 3117,10/21/2024 9:07
10112538,47,Rm 3306 M.R.,10/21/2024 9:06
10112525,30,Rm 232,10/21/2024 9:07
2064505,47,Rm 3308,10/21/2024 8:08
2295063,40,Rm 104,10/21/2024 8:40
2483929,45,Rm 3118,10/21/2024 8:23
10146817,45,Rm 3110,10/21/2024 9:06
10146150,47,Rm 3316,10/21/2024 9:06
3040437,30,Rm 203 D.K.,10/21/2024 8:33
3096713,30,Rm 203 N.K.,10/21/2024 8:15
10866737,47,Rm 3305,10/21/2024 9:05
10112554,47,Rm 3312B,10/21/2024 9:06
3326847,45,Rm 3122A,10/21/2024 8:21
3283765,30,Rm 212,10/21/2024 8:37
13593549,41,Rm 322,10/21/2024 9:08
2483169,41,Rm 332,10/21/2024 8:41
13593990,47,Rm 3329,10/21/2024 9:05
10112535,45,Rm 3113B,10/21/2024 9:06
10112591,47,Rm 3309B,10/21/2024 9:08
12537996,41,Rm 318,10/21/2024 9:07
3273193,45,Rm 3108,10/21/2024 9:00
10112551,45,Rm 3102,10/21/2024 9:05
12247070,45,Room 3122B,10/21/2024 9:05
10147129,42,Rm 2116,10/21/2024 9:05
12611745,40,Rm 112,10/21/2024 9:05
12853872,1,Bed Chair Sensor ES_Wireless 853872,10/21/2024 9:06
9998994,57,Rm 111,10/21/2024 7:33
8803859,1,PullCord ES_Wireless 803859,10/21/2024 8:45
8803978,37,bld.3 spa,10/21/2024 5:52
9999020,1,Plunger PullCord ES_Wireless 999020,10/21/2024 1:36
10192191,1,Plunger PullCord ES_Wireless 192191,10/21/2024 7:04
9998921,60,Rm 3106,10/21/2024 6:33
3649231,45,Rm 3107,10/21/2024 8:38
3649232,41,Rm 302,10/21/2024 8:48
2048139,1,Bed Chair Sensor ES_Wireless 48139,10/21/2024 9:08
3283863,40,Room 101,10/21/2024 8:17
3035538,46,Rm 3231,10/21/2024 8:56
3327461,46,Rm 3205,10/21/2024 8:38
10147104,41,RM329,10/21/2024 9:06
12247081,47,Rm 3323,10/21/2024 9:06
10146990,41,Rm 308,10/21/2024 9:08
3274172,43,Rm 2219,10/21/2024 8:57
3259159,41,Rm 320,10/21/2024 8:44
12611735,46,Rm 3216,10/21/2024 9:07
10192130,60,Rm 3112A,10/21/2024 6:12
2112642,1,Bed Chair Sensor ES_Wireless 112642,10/21/2024 8:59
10262407,39,public restroom common area,10/21/2024 5:38
3274177,41,Room 334,10/21/2024 8:23
4101223,30,Rm 210,10/21/2024 8:20
12538827,41,Rm 315,10/21/2024 9:05
4102088,47,Rm 3319,10/21/2024 8:06
4144798,41,Rm 309,10/21/2024 8:44
12247001,40,Rm 102,10/21/2024 9:06
4102974,47,Room 3301,10/21/2024 9:01
2216856,41,Rm 321,10/21/2024 8:50
10146430,45,Rm 3101,10/21/2024 9:06
10112546,30,Rm204,10/21/2024 9:07
10261160,37,Pathways SPA,10/21/2024 9:01
10112520,30,Rm 234,10/21/2024 9:08
13562550,73,Rm 204,10/21/2024 8:59
4367938,40,Rm108,10/21/2024 8:44
4431836,40,Room 118,10/21/2024 8:41
4431826,41,Rm301,10/21/2024 8:39
2486427,47,Rm 3315,10/21/2024 8:26
4375695,30,Rm 206,10/21/2024 8:39
4431833,46,Room 3206,10/21/2024 8:21
10112529,30,Rm 214,10/21/2024 9:06
4375571,46,Room 3211,10/21/2024 8:44
10146555,41,RM 312,10/21/2024 9:06
12537795,46,Rm 3201,10/21/2024 9:05
10112575,44,Rm 2315,10/21/2024 9:08
12377323,40,Rm 109,10/21/2024 9:07
10112583,30,Rm 219,10/21/2024 9:06
2122669,44,Rm 2309,10/21/2024 8:24
3327327,46,Rm 3229,10/21/2024 8:52
10112531,30,Rm 207,10/21/2024 9:08
9999015,1,Plunger PullCord ES_Wireless 999015,10/21/2024 5:09
8432266,11,Rm 2112,10/21/2024 6:09
10262080,1,PullCord ES_Wireless 262080,10/21/2024 7:50
10112542,46,Rm 3217 Mrs.,10/21/2024 9:07
10112544,46,Rm 3217 Mr.,10/21/2024 9:06
10112522,45,Rm 3115,10/21/2024 9:06
10471578,40,Rm 114,10/21/2024 9:06
12659426,70,Rm 306,10/21/2024 9:05
10526832,47,Rm 3314,10/21/2024 9:06
2960813,45,Rm 3118,10/21/2024 8:15
2177355,45,Rm 3120,10/21/2024 8:52
10112579,43,Rm 2209,10/21/2024 9:05
10112539,45,Rm 3113A,10/21/2024 9:08
13593980,45,Rm 3112B,10/21/2024 9:06
13459988,73,Rm 225A,10/21/2024 8:57
2367067,1,Waterproof Pendant ES_Wireless 367067,10/21/2024 8:41
12247045,44,Rm 2301,10/21/2024 9:08
10112534,45,Rm 3106,10/21/2024 9:05
12376636,45,Rm 3118 Mrs.,10/21/2024 9:07
12611606,47,RM 3327,10/21/2024 9:07
12376744,46,Rm 3227,10/21/2024 9:07
10155721,41,Rm 314,10/21/2024 9:07
12574387,47,Rm 3304,10/21/2024 9:07
10112536,46,Rm 3219,10/21/2024 9:07
10112587,30,Rm 234A,10/21/2024 9:08
10112543,46,Rm 3209,10/21/2024 9:07
10147119,45,Rm 3123,10/21/2024 9:06
2216326,45,Rm 3112A,10/1/2024 22:21
4893854,30,Rm 226,10/21/2024 8:11
10146577,47,Rm 3302 Mrs.,10/21/2024 9:07
10527204,45,Rm 3104,10/21/2024 9:08
13460083,1,Bed Chair Sensor ES_Wireless 460083,10/21/2024 9:03
4899304,47,Rm 3311,10/21/2024 8:21
4895599,47,Rm 3317,10/21/2024 8:52
4899303,43,Rm 2208,10/21/2024 8:20
4895442,40,Rm 107,10/21/2024 8:41
4895602,43,Rm 2212,10/21/2024 8:57
4895594,47,Rm  3310Mrs..,10/21/2024 8:54
4895441,42,Rm 2101,10/21/2024 8:16
10112541,47,Rm 3306,10/21/2024 9:06
10526845,45,Rm 3103,9/11/2024 9:59
10112576,41,Rm 305,10/21/2024 9:06
8111141,41,Apt. 316,10/21/2024 9:07
10146194,46,Rm 3202,10/21/2024 9:06
10146127,45,Rm 3116,10/21/2024 9:07
10147103,47,Rm 327,10/21/2024 9:08
10146425,45,Rm 3109,10/21/2024 9:05
12611556,40,Rm 111,10/21/2024 9:08
4107915,1,Waterproof Pendant ES_Wireless 107915,10/21/2024 8:48
13937734,75,Rm 3109,10/21/2024 9:04
13562542,1,Bed Chair Sensor ES_Wireless 562542,10/21/2024 8:58
4895435,44,Rm 2307,10/21/2024 8:17
10146420,43,Rm 2218,10/21/2024 9:05
2041834,1,Bed Chair Sensor ES_Wireless 41834,10/21/2024 9:06
2045275,1,Bed Chair Sensor ES_Wireless 45275,10/21/2024 8:49
10112530,41,Room 307,10/21/2024 9:06
10204997,1,Plunger PullCord ES_Wireless 204997,10/21/2024 7:44
4899308,1,Waterproof Pendant ES_Wireless 899308,10/21/2024 8:45
4402345,1,Waterproof Pendant ES_Wireless 402345,10/21/2024 8:27
2483021,1,Waterproof Pendant ES_Wireless 483021,10/21/2024 8:47
10146813,45,3121,10/21/2024 9:08
10146559,45,Rm 3111,10/21/2024 9:08
12537907,40,Rm 103Mrs.,10/21/2024 9:07
3327332,1,Waterproof Pendant ES_Wireless 327332,10/21/2024 8:22
10866383,43,Rm 2215,10/21/2024 9:07
10112552,1,Pendant ES_Wireless 112552,10/21/2024 9:08
4978082,47,Room 3310,10/21/2024 8:21
4978146,41,Rm 330,10/21/2024 8:53
13593539,1,Pendant ES_Wireless 593539,10/21/2024 9:08
2064433,1,Waterproof Pendant ES_Wireless 64433,10/21/2024 9:01
4947670,41,Room 323,10/21/2024 8:54
10147137,1,Pendant ES_Wireless 147137,10/21/2024 9:07
10155713,1,Pendant ES_Wireless 155713,10/21/2024 9:06
4945369,41,Room 326,10/21/2024 9:07
4969536,46,Rm 3220,10/21/2024 8:37
3649368,47,rm 3312CB,10/21/2024 9:01
